C00496679|92270|2017|100|100|1
C00484451|74055|2017|10|10|1
C00484451|49424|2017|96|96|1
C00484451|36526|2017|19|19|1
C00484451|73170|2017|19|19|1
C00484451|80123|2017|20|20|1
C00484451|50073|2017|15|15|1
C00484451|50014|2017|40|40|1
C00484451|75013|2017|19|19|1
C00484451|75033|2017|19|19|1
C00484451|32507|2017|96|96|1
C00484451|75071|2017|10|10|1
C00484451|49464|2017|20|20|1
C00484451|66221|2017|20|20|1
C00484451|77554|2017|15|15|1
C00484451|90601|2017|19|19|1
C00484451|44278|2017|19|19|1
C00484451|49424|2017|15|111|2
C00484451|54016|2017|10|10|1
C00484451|75034|2017|96|96|1
C00484451|53406|2017|38|38|1
C00484451|49424|2017|15|126|3
C00484451|54016|2017|10|20|2
C00484451|75229|2017|42|42|1
C00484451|53402|2017|19|19|1
C00484451|75025|2017|10|10|1
C00484451|11501|2017|38|38|1
C00484451|13156|2017|10|10|1
C00484451|85297|2017|10|10|1
C00484451|94533|2017|38|38|1
C00484451|66221|2017|20|78|2
C00484451|75287|2017|38|38|1
C00484451|75070|2017|19|19|1
C00484451|75070|2017|19|57|2
C00484451|95661|2017|10|10|1
C00484451|75068|2017|130|130|1
C00484451|94517|2017|96|96|1
C00484451|98604|2017|20|20|1
C00484451|46033|2017|19|19|1
C00484451|14516|2017|15|15|1
C00484451|55403|2017|15|15|1
C00484451|92653|2017|20|20|1
C00484451|75034|2017|20|116|2
C00484451|75026|2017|25|25|1
C00484451|75034|2017|10|126|3
C00484451|75034|2017|19|145|4
C00484451|63126|2017|15|15|1
C00484451|75034|2017|19|164|5
C00484451|76226|2017|19|19|1
C00484451|75007|2017|20|20|1
C00484451|75033|2017|19|57|2
C00484451|75078|2017|19|19|1
C00484451|75078|2017|15|34|2
C00484451|75048|2017|10|10|1
C00484451|75034|2017|19|204|6
C00484451|98374|2017|38|38|1
C00484451|08831|2017|20|20|1
C00484451|30152|2017|15|15|1
C00484451|75071|2017|10|48|2
C00484451|98198|2017|40|40|1
C00484451|75098|2017|19|19|1
C00484451|75024|2017|19|19|1
C00484451|75024|2017|19|57|2
C00484451|75078|2017|15|54|3
C00484451|75093|2017|10|10|1
C00484451|75019|2017|19|19|1
C00484451|83607|2017|5|5|1
C00484451|75098|2017|15|34|2
C00484451|75078|2017|19|92|4
C00484451|60564|2017|100|100|1
C00484451|75024|2017|19|153|3
C00484451|75070|2017|10|67|3
C00484451|95695|2017|10|10|1
C00484451|75013|2017|10|29|2
C00484451|22205|2017|40|40|1
C00484451|75078|2017|15|102|5
C00484451|47150|2017|20|20|1
C00484451|75013|2017|10|67|3
C00484451|75071|2017|10|58|3
C00484451|75013|2017|19|105|4
C00484451|78550|2017|19|19|1
C00484451|75089|2017|10|10|1
C00484451|78108|2017|19|19|1
C00484451|30518|2017|10|10|1
C00484451|60506|2017|15|15|1
C00484451|75070|2017|10|74|4
C00484451|72704|2017|38|38|1
C00484451|74055|2017|10|20|2
C00484451|36526|2017|19|38|2
C00484451|73170|2017|19|38|2
C00484451|80123|2017|20|40|2
C00484451|49424|2017|15|222|4
C00484451|50073|2017|15|30|2
C00484451|50014|2017|40|80|2
C00484451|75013|2017|19|124|5
C00484451|76001|2017|10|10|1
C00484451|65065|2017|10|10|1
C00484451|60614|2017|150|150|1
C00484451|18062|2017|10|10|1
C00484451|75225|2017|96|96|1
C00484451|75033|2017|19|76|3
C00484451|61434|2017|10|10|1
C00484451|75070|2017|10|112|5
C00484451|75002|2017|19|19|1
C00484451|75098|2017|10|44|3
C00484451|76092|2017|38|38|1
C00484451|75069|2017|38|38|1
C00484451|95621|2017|19|19|1
C00484451|75098|2017|15|63|4
C00484451|30078|2017|10|10|1
C00484451|77007|2017|96|96|1
C00484451|60504|2017|19|19|1
C00484451|49464|2017|20|40|2
C00484451|75078|2017|15|121|6
C00484451|33149|2017|19|19|1
C00484451|75252|2017|20|20|1
C00484451|60586|2017|38|38|1
C00484451|75287|2017|19|57|2
C00484451|75033|2017|19|95|4
C00484451|32507|2017|96|192|2
C00484451|66221|2017|20|98|3
C00484451|77554|2017|15|30|2
C00484451|75071|2017|10|68|4
C00484451|90601|2017|19|38|2
C00484451|44278|2017|19|38|2
C00484451|75098|2017|10|73|5
C00484451|75035|2017|20|20|1
C00484451|94517|2017|19|115|2
C00484451|75034|2017|19|223|7
C00484451|75252|2017|20|58|2
C00115832|47111|2017|41|41|1
C00115832|47111|2017|41|82|2
C00115832|46033|2017|50|50|1
C00115832|47124|2017|50|50|1
C00115832|33872|2017|20|20|1
C00115832|46143|2017|100|100|1
C00115832|46220|2017|50|50|1
C00115832|46750|2017|101|101|1
C00115832|46947|2017|53|53|1
C00143867|30309|2017|100|100|1
C00143867|30309|2017|100|200|2
C00143867|30062|2017|20|20|1
C00143867|30062|2017|20|40|2
C00143867|30318|2017|20|20|1
C00143867|30318|2017|20|40|2
C00143867|30066|2017|30|30|1
C00143867|30066|2017|30|60|2
C00143867|30305|2017|100|100|1
C00143867|30305|2017|100|200|2
C00143867|01776|2017|10|10|1
C00143867|01776|2017|10|20|2
C00143867|30071|2017|10|10|1
C00143867|30071|2017|10|20|2
C00143867|30033|2017|15|15|1
C00143867|30033|2017|15|30|2
C00143867|30318|2017|20|60|3
C00143867|30318|2017|20|80|4
C00143867|10956|2017|15|15|1
C00143867|30075|2017|15|15|1
C00143867|30075|2017|15|30|2
C00143867|30022|2017|20|20|1
C00143867|30075|2017|15|45|3
C00143867|30132|2017|10|10|1
C00143867|30132|2017|10|20|2
C00143867|20175|2017|15|15|1
C00143867|20175|2017|15|30|2
C00143867|30075|2017|15|60|4
C00143867|30005|2017|30|30|1
C00143867|30005|2017|30|60|2
C00143867|30084|2017|35|35|1
C00143867|10956|2017|15|30|2
C00143867|30317|2017|15|15|1
C00143867|30317|2017|15|30|2
C00143867|30084|2017|35|70|2
C00143867|30075|2017|15|95|5
C00143867|30075|2017|15|130|6
C00143867|63128|2017|20|20|1
C00143867|63128|2017|20|40|2
